time_idx,power_0,wind_speed_1,power_1,wind_speed_2,power_2,wind_speed_3,power_3,wind_speed_4,power_4,wind_speed_5,power_5,wind_speed_6,power_6,wind_speed_7,power_7,wind_speed_8,power_8,wind_speed_9,power_9,wind_speed_10,power_10,wind_speed_11,power_11,wind_speed_12,power_12,wind_speed_13,power_13,wind_speed_14,power_14,wind_speed_15,power_15,wind_speed_16,power_16,wind_speed_17,power_17,wind_speed_18,power_18,wind_speed_19,power_19,wind_speed_20,power_20,wind_speed_21,power_21,wind_speed_22,power_22,wind_speed_23,power_23,wind_speed_24,power_24,wind_speed_25,power_25,wind_speed_26,power_26,wind_speed_27,power_27,wind_speed_28,power_28,wp_true
20,147.6000061,4.623718262,221.9000092,5.007153988,301.3000183,4.623718262,201.6000061,4.814743519,225.9000092,4.623718262,248.1000061,3.955128193,149.9000092,4.528204918,197.1000061,4.814743519,255.4000092,3.095512867,80.90000153,3.66858983,144.9000092,3.0,54.40000153,3.477564096,107.5999985,4.623718262,204.3000031,2.700000048,50.70000076,2.700000048,47.79999924,4.528204918,229.1000061,2.600000143,25.70000076,3.477564096,112.3000031,3.66858983,123.2000046,4.910256386,361.3000183,4.432692528,249.6000061,5.007153988,285.5,5.007153988,314.7000122,4.910256386,280.7000122,3.191025734,60.60000229,3.955128193,229.1999969,5.490871906,410.2000122,4.814743519,335.3000183,3.35
21,5.599999905,3.286538363,67.40000153,4.05064106,133.1000061,3.955128193,100.3000031,3.955128193,122.5999985,3.859615564,156.1999969,3.0,42.79999924,3.0,51.0,3.764102459,106.5999985,3.0,59.79999924,2.799999952,48.79999924,3.191025734,73.09999847,2.200000048,1.0,3.191025734,67.70000458,3.286538363,50.5,2.200000048,-2.200000048,3.859615564,156.4000092,2.900000095,42.70000076,3.0,9.5,3.095512867,40.60000229,5.587461948,371.5,3.859615564,162.6000061,3.955128193,183.1000061,4.814743519,259.0,4.241666794,228.5,2.600000143,30.5,3.859615564,201.6999969,5.200795174,415.5,5.394230843,372.2000122,6.08
22,106.4000015,3.382051468,84.40000153,3.955128193,142.4000092,3.859615564,85.0,3.764102459,122.9000015,4.719231129,169.3000031,3.477564096,98.30000305,3.573076963,99.5,3.095512867,40.0,3.095512867,86.59999847,3.573076963,123.5,3.0,79.0,3.382051468,99.80000305,3.477564096,75.09999847,3.0,44.29999924,3.095512867,80.40000153,4.146153927,170.1000061,3.382051468,44.0,3.095512867,70.70000458,3.0,59.40000153,4.432692528,227.0,3.955128193,176.5,4.432692528,184.6000061,4.146153927,188.5,3.955128193,144.3000031,3.095512867,-8.400000572,2.700000048,51.29999924,4.337179661,254.3000031,2.5,103.7000046,6.04
23,59.10000229,3.66858983,111.2000046,4.337179661,224.1999969,4.241666794,166.3000031,4.05064106,199.4000092,4.146153927,202.8000031,3.764102459,132.6999969,4.337179661,165.9000092,3.66858983,126.5999985,3.477564096,60.0,3.573076963,114.2000046,2.299999952,31.39999962,3.382051468,107.8000031,3.859615564,90.0,2.600000143,33.79999924,3.573076963,93.40000153,3.859615564,132.5,3.095512867,26.39999962,3.0,55.79999924,3.0,45.20000076,4.528204918,262.5,3.573076963,138.6999969,4.432692528,194.9000092,4.432692528,230.1000061,4.05064106,193.5,3.477564096,87.40000153,4.05064106,200.3000031,5.007153988,363.8999939,2.799999952,107.5999985,6.18
24,8.699999809,3.573076963,93.09999847,4.146153927,186.4000092,3.859615564,114.4000015,4.528204918,168.9000092,3.955128193,171.6999969,3.477564096,85.90000153,3.859615564,120.2000046,3.382051468,91.70000458,3.0,65.09999847,3.859615564,146.3000031,3.191025734,102.7000046,3.573076963,122.2000046,3.955128193,123.4000015,3.66858983,111.3000031,2.5,48.0,4.814743519,237.8000031,3.191025734,65.30000305,3.0,66.0,3.095512867,66.30000305,5.684000015,435.8000183,4.814743519,248.3000031,5.200795174,299.8999939,5.490871906,393.5,5.297538757,330.5,3.955128193,166.6000061,4.432692528,289.5,5.490871906,439.7000122,3.955128193,226.0,6.42
25,49.5,3.191025734,44.10000229,4.241666794,176.1999969,4.337179661,144.4000092,4.241666794,175.4000092,3.955128193,172.1999969,3.477564096,84.30000305,3.955128193,128.1000061,3.859615564,126.0,2.900000095,56.29999924,3.859615564,157.4000092,3.0,120.5999985,3.382051468,108.2000046,3.859615564,127.2000046,3.0,50.10000229,2.799999952,65.30000305,4.05064106,171.5,3.095512867,63.0,3.191025734,82.09999847,3.191025734,88.30000305,5.104000092,339.5,3.859615564,196.8000031,4.814743519,220.8000031,4.814743519,268.7000122,4.623718262,236.1999969,3.477564096,98.70000458,4.241666794,250.0,5.200795174,393.6000061,2.799999952,106.0999985,5.31
26,48.0,3.477564096,66.70000458,3.955128193,162.9000092,4.241666794,149.4000092,3.955128193,176.8000031,4.05064106,186.1000061,3.477564096,66.30000305,3.764102459,97.30000305,3.095512867,85.40000153,2.799999952,50.0,3.66858983,143.6999969,4.05064106,172.9000092,3.573076963,127.5999985,4.241666794,185.9000092,2.900000095,34.60000229,2.900000095,84.09999847,3.955128193,172.6999969,3.0,38.40000153,3.095512867,70.90000153,3.477564096,101.0,5.587461948,424.0,4.719231129,270.0,5.490871906,381.6000061,5.490871906,453.1000061,5.490871906,435.2000122,3.859615564,141.5,5.007153988,366.8000183,5.684000015,568.7000122,3.66858983,206.1999969,5.41
27,38.5,2.600000143,31.30000114,3.382051468,80.09999847,3.382051468,69.59999847,3.66858983,107.5,3.573076963,92.70000458,2.799999952,25.5,3.191025734,80.80000305,3.382051468,62.79999924,3.0,50.20000076,3.573076963,136.0,4.337179661,212.4000092,3.955128193,140.6999969,3.955128193,157.9000092,3.286538363,42.5,2.299999952,42.90000153,3.955128193,212.6000061,3.095512867,65.80000305,3.191025734,73.90000153,3.66858983,118.0999985,6.358333111,654.6000366,4.719231129,308.1000061,5.587461948,437.1000061,5.876923084,576.6000366,6.069641113,554.0,4.337179661,193.8000031,4.146153927,295.2000122,4.719231129,404.5,4.719231129,332.8999939,3.36
28,63.0,3.764102459,125.4000015,4.241666794,161.1999969,4.05064106,130.6000061,3.859615564,153.5,3.66858983,158.3000031,3.286538363,76.80000305,3.382051468,86.59999847,3.573076963,123.2000046,2.799999952,37.70000076,3.859615564,138.1999969,4.241666794,228.3000031,3.477564096,121.5,3.859615564,169.6000061,3.095512867,67.59999847,3.955128193,157.0,3.859615564,179.6999969,1.100000024,-5.599999905,3.382051468,99.20000458,3.955128193,160.9000092,6.358333111,605.1000366,5.200795174,350.0,5.97330761,476.7000122,5.684000015,534.0,5.587461948,464.3999939,2.0,-16.5,2.400000095,13.60000038,3.66858983,149.1999969,3.764102459,171.8000031,2.84
29,-3.200000048,2.5,-6.200000286,2.200000048,-6.800000191,2.200000048,-7.700000286,3.095512867,65.40000153,3.0,29.39999962,1.600000024,-8.400000572,2.400000095,23.30000114,2.900000095,31.10000038,2.5,-8.199999809,2.400000095,-8.800000191,3.0,66.59999847,2.900000095,42.70000076,3.095512867,58.29999924,3.191025734,67.30000305,3.764102459,132.5,4.432692528,167.9000092,1.0,-4.400000095,2.600000143,-5.5,3.66858983,-8.400000572,4.623718262,222.1000061,3.095512867,90.70000458,3.955128193,165.0,4.432692528,168.0,5.490871906,371.2000122,0.5,-3.700000048,1.899999976,-4.599999905,3.477564096,116.4000015,2.200000048,16.80000114,3.95
30,-4.200000286,3.0,-4.200000286,2.900000095,-2.900000095,2.799999952,-0.400000006,2.600000143,12.0,3.859615564,22.20000076,1.899999976,-4.200000286,2.400000095,-3.799999952,2.700000048,-2.799999952,1.300000072,-3.799999952,1.800000072,-5.700000286,1.300000072,-3.299999952,1.300000072,-2.799999952,2.299999952,-6.599999905,3.286538363,41.5,3.0,37.90000153,1.200000048,-11.10000038,1.800000072,-4.400000095,1.0,-4.200000286,3.477564096,64.20000458,4.814743519,227.9000092,2.799999952,76.09999847,2.799999952,17.30000114,2.400000095,-4.099999905,4.337179661,182.9000092,0.900000036,-4.200000286,2.100000143,-4.300000191,2.299999952,-7.099999905,1.899999976,-4.800000191,5.48
